Created At,App ID,App Start Logs,Action,User Type,Lead Time,Is Excused,Performed By Type
2022-09-28 16:35:49,633222729c04db01b5502acc,2022-10-07 21:00:00,APP_CLAIM,Locksmith,220.403333,FALSE,AGENT
2022-10-06 12:10:15,633c449183959601b4fd4d9a,2022-10-09 21:00:00,APP_CLAIM,Locksmith,80.829167,FALSE,AGENT
2022-10-09 17:06:45,633c449183959601b4fd4d9a,2022-10-09 21:00:00,USER_CANCEL,Locksmith,3.887778,FALSE,AGENT
2022-10-26 0:38:00,63498bab021d4301b4789b9c,2022-10-30 13:00:00,APP_CLAIM,Locksmith,108.366944,FALSE,AGENT
2022-10-26 0:40:08,63498b9a021d4301b4789abb,2022-10-30 21:00:00,APP_CLAIM,Locksmith,116.331389,FALSE,AGENT
2022-10-31 23:54:22,63498bab021d4301b4789b9c,2022-10-30 13:00:00,APP_TIME_CHANGE,Locksmith,-34.905833,FALSE,ADMIN
2022-10-31 23:54:22,63498bab021d4301b4789b9c,2022-10-30 13:00:00,APP_TIME_CHANGE,Locksmith,-34.905833,FALSE,ADMIN
2022-10-31 23:54:23,63498bab021d4301b4789b9c,2022-10-30 13:00:00,APP_VERIFY,Locksmith,-34.906389,FALSE,ADMIN
2022-11-03 11:49:02,6362f0c43cb08e01b41852ec,2022-11-24 21:00:00,APP_CLAIM,Locksmith,513.183056,,AGENT
2022-11-03 11:49:32,6362f0340888f401b4dc23a3,2022-11-23 13:00:00,APP_CLAIM,Locksmith,481.174444,,AGENT
2022-11-03 11:50:05,6362f05406ee3901b4247ad7,2022-11-23 21:00:00,APP_CLAIM,Locksmith,489.165556,,AGENT
2022-11-03 13:03:00,6362ef9b2fc6b801b4ec4924,2022-11-21 21:00:00,APP_CLAIM,Locksmith,439.950278,,AGENT
2022-11-05 12:10:12,6362f2c906ee3901b424ab53,2022-11-30 21:00:00,APP_CLAIM,Locksmith,608.83,,AGENT
2022-11-05 12:10:33,6362f27b3cb08e01b41880e7,2022-11-28 13:00:00,APP_CLAIM,Locksmith,552.824167,,AGENT
2022-11-05 12:10:45,6362f2852fc6b801b4ec7c51,2022-11-28 21:00:00,APP_CLAIM,Locksmith,560.821111,,AGENT
2022-11-07 1:00:40,6362e8e606ee3901b423f908,2022-11-08 21:00:00,APP_CLAIM,Locksmith,43.988889,,AGENT
2022-11-08 14:48:22,6362ea350888f401b4dba2c3,2022-11-13 13:00:00,APP_CLAIM,Locksmith,118.194167,,AGENT
2022-11-08 17:58:38,6362e8e606ee3901b423f908,2022-11-08 21:00:00,CUSTOMER_CANCEL_FILLED,Locksmith,3.023056,,CUSTOMER
2022-11-13 11:35:40,6362ea350888f401b4dba2c3,2022-11-13 13:00:00,USER_CANCEL,Locksmith,1.405833,,AGENT
2022-11-13 11:35:44,6362f0c43cb08e01b41852ec,2022-11-24 21:00:00,APP_UNASSIGN,Locksmith,273.404444,,SYSTEM AUTOMATED
2022-11-13 11:35:44,6362f05406ee3901b4247ad7,2022-11-23 21:00:00,APP_UNASSIGN,Locksmith,249.404444,,SYSTEM AUTOMATED
2022-11-13 11:35:46,6362f0340888f401b4dc23a3,2022-11-23 13:00:00,APP_UNASSIGN,Locksmith,241.403889,,SYSTEM AUTOMATED
2022-11-13 11:35:46,6362ef9b2fc6b801b4ec4924,2022-11-21 21:00:00,APP_UNASSIGN,Locksmith,201.403889,,SYSTEM AUTOMATED
2022-11-13 11:35:48,6362f27b3cb08e01b41880e7,2022-11-28 13:00:00,APP_UNASSIGN,Locksmith,361.403611,,SYSTEM AUTOMATED
2022-11-13 11:35:50,6362f2852fc6b801b4ec7c51,2022-11-28 21:00:00,APP_UNASSIGN,Locksmith,369.403056,,SYSTEM AUTOMATED
2022-11-13 11:35:50,6362f2c906ee3901b424ab53,2022-11-30 21:00:00,APP_UNASSIGN,Locksmith,417.402778,,SYSTEM AUTOMATED
2022-11-20 13:17:43,6362f145e7814701b34bff29,2022-11-25 13:00:00,APP_CLAIM,Locksmith,119.705,,AGENT
2022-11-20 13:19:40,6362f2c506ee3901b424ab18,2022-11-30 13:00:00,APP_CLAIM,Locksmith,239.6725,,AGENT
2022-11-20 13:21:02,6362f13c0888f401b4dc3737,2022-11-25 21:00:00,APP_CLAIM,Locksmith,127.649444,,AGENT
2022-11-20 15:27:56,636e87936a7f0301b6cb29fb,2022-11-28 13:00:00,APP_CLAIM,Locksmith,189.534722,,AGENT
2022-11-20 17:04:56,6362f1c43cb08e01b4185fbb,2022-11-27 5:00:00,APP_CLAIM,Locksmith,155.918056,,AGENT
2022-11-21 18:30:14,6362effd0888f401b4dc2167,2022-11-22 21:00:00,APP_CLAIM,Locksmith,26.496111,,AGENT
2022-11-21 18:31:25,6362f2ca3cb08e01b418838e,2022-11-30 21:00:00,APP_CLAIM,Locksmith,218.476667,,AGENT
2022-11-21 22:51:56,6362effd0888f401b4dc2167,2022-11-22 21:00:00,CUSTOMER_CANCEL_FILLED,Locksmith,22.134444,,CUSTOMER
2022-11-23 23:33:39,636e8790cc7fd901b425fc3f,2022-11-28 21:00:00,APP_CLAIM,Locksmith,117.439167,,AGENT
2022-11-24 14:26:37,6362f13c0888f401b4dc3737,2022-11-25 21:00:00,CUSTOMER_CANCEL_FILLED,Locksmith,30.556389,,CUSTOMER
2022-11-24 14:27:50,6362f1c43cb08e01b4185fbb,2022-11-27 5:00:00,CUSTOMER_CANCEL_FILLED,Locksmith,62.536389,,CUSTOMER
2022-11-25 0:56:53,637fe7366609df01b468135b,2022-11-27 5:00:00,APP_CLAIM,Locksmith,52.052222,,AGENT
2022-11-25 20:52:49,6362f145e7814701b34bff29,2022-11-25 13:00:00,APP_VERIFY,Locksmith,-7.880278,,ADMIN
2022-11-27 3:57:32,637fe7366609df01b468135b,2022-11-27 5:00:00,USER_CANCEL,Locksmith,1.041111,,AGENT
2022-11-28 17:38:57,6362f2c506ee3901b424ab18,2022-11-30 13:00:00,CUSTOMER_CANCEL_FILLED,Locksmith,43.351111,,CUSTOMER
2022-11-28 21:11:34,636e87936a7f0301b6cb29fb,2022-11-28 13:00:00,APP_VERIFY,Locksmith,-8.1925,,ADMIN
2022-11-29 6:18:24,636e8790cc7fd901b425fc3f,2022-11-28 21:00:00,APP_VERIFY,Locksmith,-9.306667,,ADMIN
2022-11-29 22:42:52,6362f2ca3cb08e01b418838e,2022-11-30 21:00:00,CUSTOMER_CANCEL_FILLED,Locksmith,22.285556,,CUSTOMER
2022-11-30 0:28:47,63868ce0afb90e01b6bb8356,2022-12-05 13:00:00,APP_CLAIM,Locksmith,132.520556,,AGENT
2022-11-30 0:28:55,63868ce65a079301b6f32022,2022-12-05 21:00:00,APP_CLAIM,Locksmith,140.518333,,AGENT
2022-11-30 0:39:31,638693ae427a7401b5dfacc5,2022-12-24 13:00:00,APP_CLAIM,Locksmith,588.341667,,AGENT
2022-11-30 0:39:38,638693d6427a7401b5dfb664,2022-12-24 21:00:00,APP_CLAIM,Locksmith,596.339444,,AGENT
2022-11-30 0:41:03,63869428afb90e01b6bccab1,2022-12-25 21:00:00,APP_CLAIM,Locksmith,620.315833,,AGENT
2022-11-30 0:55:08,6386940d427a7401b5dfc216,2022-12-26 5:00:00,APP_CLAIM,Locksmith,628.081111,,AGENT
2022-12-02 2:08:18,63893d894088d301b481e176,2022-12-03 5:00:00,APP_CLAIM,Locksmith,26.861667,,AGENT
2022-12-02 13:54:31,63869352afb90e01b6bca2a6,2022-12-22 13:00:00,APP_CLAIM,Locksmith,479.091389,,AGENT
2022-12-02 13:54:42,6386935f427a7401b5df8a19,2022-12-22 21:00:00,APP_CLAIM,Locksmith,487.088611,,AGENT
2022-12-02 15:14:17,638692795a079301b6f3e0eb,2022-12-18 13:00:00,APP_CLAIM,Locksmith,381.761944,,AGENT
2022-12-02 15:14:25,63869294afb90e01b6bc675a,2022-12-18 21:00:00,APP_CLAIM,Locksmith,389.76,,AGENT
2022-12-02 20:21:30,63893d894088d301b481e176,2022-12-03 5:00:00,USER_CANCEL,Locksmith,8.641944,,AGENT
2022-12-02 20:21:38,63869294afb90e01b6bc675a,2022-12-18 21:00:00,APP_UNASSIGN,Locksmith,384.639444,,SYSTEM AUTOMATED
2022-12-02 20:21:39,63868ce0afb90e01b6bb8356,2022-12-05 13:00:00,APP_UNASSIGN,Locksmith,64.639444,,SYSTEM AUTOMATED
2022-12-02 20:21:42,638693d6427a7401b5dfb664,2022-12-24 21:00:00,APP_UNASSIGN,Locksmith,528.638333,,SYSTEM AUTOMATED
2022-12-02 20:21:42,638692795a079301b6f3e0eb,2022-12-18 13:00:00,APP_UNASSIGN,Locksmith,376.638333,,SYSTEM AUTOMATED
2022-12-02 20:21:46,6386940d427a7401b5dfc216,2022-12-26 5:00:00,APP_UNASSIGN,Locksmith,560.6375,,SYSTEM AUTOMATED
2022-12-02 20:43:17,63868ce65a079301b6f32022,2022-12-05 21:00:00,APP_UNASSIGN,Locksmith,72.278611,,SYSTEM AUTOMATED
2022-12-02 20:43:17,6386935f427a7401b5df8a19,2022-12-22 21:00:00,APP_UNASSIGN,Locksmith,480.278611,,SYSTEM AUTOMATED
2022-12-02 20:43:17,638693ae427a7401b5dfacc5,2022-12-24 13:00:00,APP_UNASSIGN,Locksmith,520.278611,,SYSTEM AUTOMATED
2022-12-02 20:43:17,63869428afb90e01b6bccab1,2022-12-25 21:00:00,APP_UNASSIGN,Locksmith,552.278611,,SYSTEM AUTOMATED
2022-12-02 20:43:17,63869352afb90e01b6bca2a6,2022-12-22 13:00:00,APP_UNASSIGN,Locksmith,472.278611,,SYSTEM AUTOMATED
2022-12-10 0:14:01,638693b3afb90e01b6bcb7cc,2022-12-24 13:00:00,APP_CLAIM,Locksmith,348.766667,,AGENT
2022-12-10 0:16:04,6386923d5a079301b6f3de60,2022-12-17 13:00:00,APP_CLAIM,Locksmith,180.7325,,AGENT
2022-12-10 0:17:15,63911b15ac4d3601b3e49941,2022-12-10 21:00:00,APP_CLAIM,Locksmith,20.7125,,AGENT
2022-12-10 0:19:44,6386943c427a7401b5dfc454,2022-12-25 21:00:00,APP_CLAIM,Locksmith,380.671389,,AGENT
2022-12-10 0:32:16,63869354427a7401b5df892e,2022-12-22 13:00:00,APP_CLAIM,Locksmith,300.462222,,AGENT
2022-12-10 0:32:25,63869360afb90e01b6bca3a2,2022-12-22 21:00:00,APP_CLAIM,Locksmith,308.46,,AGENT
2022-12-10 0:34:20,638694695a079301b6f46781,2022-12-26 13:00:00,APP_CLAIM,Locksmith,396.428056,,AGENT
2022-12-10 0:34:31,6386945b5a079301b6f466e0,2022-12-26 21:00:00,APP_CLAIM,Locksmith,404.424722,,AGENT
2022-12-11 1:25:52,63951c3a52c9f801b7282e4f,2022-12-11 13:00:00,APP_CLAIM,Locksmith,11.568889,,AGENT
2022-12-11 5:01:01,63911b15ac4d3601b3e49941,2022-12-10 21:00:00,APP_VERIFY,Locksmith,-8.016944,,ADMIN
2022-12-11 16:26:17,638693e3427a7401b5dfbb47,2022-12-24 21:00:00,APP_CLAIM,Locksmith,316.561944,,AGENT
2022-12-11 20:59:11,63951c3a52c9f801b7282e4f,2022-12-11 13:00:00,APP_VERIFY,Locksmith,-7.986389,,ADMIN
2022-12-12 2:53:51,638691cc5a079301b6f3d82e,2022-12-17 21:00:00,APP_CLAIM,Locksmith,138.1025,,AGENT
2022-12-12 20:09:40,638694695a079301b6f46781,2022-12-26 13:00:00,USER_CANCEL,Locksmith,328.839167,,AGENT
2022-12-12 20:09:54,6386945b5a079301b6f466e0,2022-12-26 21:00:00,USER_CANCEL,Locksmith,336.835278,,AGENT
2022-12-12 20:11:05,638694e55a079301b6f4786a,2022-12-30 21:00:00,APP_CLAIM,Locksmith,432.815278,,AGENT
2022-12-13 19:13:01,6398c7a952c9f801b77df8b0,2022-12-21 13:00:00,APP_CLAIM,Locksmith,185.783056,,AGENT
2022-12-13 21:01:34,63869354427a7401b5df892e,2022-12-22 13:00:00,CUSTOMER_CANCEL_FILLED,Locksmith,207.974167,,CUSTOMER
2022-12-14 18:05:46,63869450427a7401b5dfc50e,2022-12-27 5:00:00,APP_CLAIM,Locksmith,298.903889,,AGENT
2022-12-16 0:58:53,639bb9e675483001b4ddb817,2023-01-01 13:00:00,APP_CLAIM,Locksmith,396.018889,,AGENT
2022-12-16 0:58:57,639bba0675483001b4ddbd56,2023-01-01 21:00:00,APP_CLAIM,Locksmith,404.017778,,AGENT
2022-12-16 1:10:05,639bc20502b86401b476ec7b,2023-01-23 13:00:00,APP_CLAIM,Locksmith,923.832222,,AGENT
2022-12-16 1:10:11,639bc1fc02b86401b476ec30,2023-01-23 21:00:00,APP_CLAIM,Locksmith,931.830556,,AGENT
2022-12-16 1:11:24,639bc46302b86401b4779973,2023-01-16 13:00:00,APP_CLAIM,Locksmith,755.810278,,AGENT
2022-12-16 1:11:26,639bc45897479001b567eeda,2023-01-16 21:00:00,APP_CLAIM,Locksmith,763.809722,,AGENT
2022-12-16 1:19:42,639bbfd397479001b566b51f,2023-01-29 13:00:00,APP_CLAIM,Locksmith,1067.671944,,AGENT
2022-12-16 21:03:57,639cdc4df0a5f801b7a521b8,2022-12-28 17:00:00,APP_CLAIM,Locksmith,283.934167,,AGENT
2022-12-17 13:26:27,6386923d5a079301b6f3de60,2022-12-17 13:00:00,NO_CALL_NO_SHOW,Locksmith,-0.440556,,AGENT
2022-12-17 13:26:32,639cdc4df0a5f801b7a521b8,2022-12-28 17:00:00,APP_UNASSIGN,Locksmith,267.557778,,SYSTEM AUTOMATED
2022-12-17 13:26:33,638693e3427a7401b5dfbb47,2022-12-24 21:00:00,APP_UNASSIGN,Locksmith,175.557778,,SYSTEM AUTOMATED
2022-12-17 13:26:35,63869360afb90e01b6bca3a2,2022-12-22 21:00:00,APP_UNASSIGN,Locksmith,127.557222,,SYSTEM AUTOMATED
2022-12-17 13:26:35,6386943c427a7401b5dfc454,2022-12-25 21:00:00,APP_UNASSIGN,Locksmith,199.556944,,SYSTEM AUTOMATED
2022-12-17 13:26:37,638694e55a079301b6f4786a,2022-12-30 21:00:00,APP_UNASSIGN,Locksmith,319.556667,,SYSTEM AUTOMATED
2022-12-17 13:26:37,638693b3afb90e01b6bcb7cc,2022-12-24 13:00:00,APP_UNASSIGN,Locksmith,167.556389,,SYSTEM AUTOMATED
2022-12-17 13:26:37,639bb9e675483001b4ddb817,2023-01-01 13:00:00,APP_UNASSIGN,Locksmith,359.556389,,SYSTEM AUTOMATED
2022-12-17 13:26:38,639bba0675483001b4ddbd56,2023-01-01 21:00:00,APP_UNASSIGN,Locksmith,367.556389,,SYSTEM AUTOMATED
2022-12-17 13:26:40,639bc45897479001b567eeda,2023-01-16 21:00:00,APP_UNASSIGN,Locksmith,727.555833,,SYSTEM AUTOMATED
2022-12-17 13:26:40,639bc46302b86401b4779973,2023-01-16 13:00:00,APP_UNASSIGN,Locksmith,719.555833,,SYSTEM AUTOMATED
2022-12-17 13:26:40,639bc1fc02b86401b476ec30,2023-01-23 21:00:00,APP_UNASSIGN,Locksmith,895.555556,,SYSTEM AUTOMATED
2022-12-17 13:26:42,638691cc5a079301b6f3d82e,2022-12-17 21:00:00,APP_UNASSIGN,Locksmith,7.555278,,SYSTEM AUTOMATED
2022-12-17 13:26:42,639bbfd397479001b566b51f,2023-01-29 13:00:00,APP_UNASSIGN,Locksmith,1031.555,,SYSTEM AUTOMATED
2022-12-17 13:26:43,639bc20502b86401b476ec7b,2023-01-23 13:00:00,APP_UNASSIGN,Locksmith,887.554722,,SYSTEM AUTOMATED
2022-12-17 13:26:44,63869450427a7401b5dfc50e,2022-12-27 5:00:00,APP_UNASSIGN,Locksmith,231.554444,,SYSTEM AUTOMATED
2022-12-17 13:26:44,6398c7a952c9f801b77df8b0,2022-12-21 13:00:00,APP_UNASSIGN,Locksmith,95.554444,,SYSTEM AUTOMATED
